키워드,뜻,예문,종류
approximately,대략 · 약,Approximately 300 guests attended the annual conference.,숫자부사
around,대략 · 약,The project will take around six weeks to complete.,숫자부사
about,대략 · 약,About 40 percent of the budget has already been spent.,숫자부사
nearly,거의,Nearly all employees completed the mandatory safety training.,숫자부사
almost,거의,The warehouse was almost empty when the shipment arrived.,숫자부사
roughly,대략,Roughly half of the applicants passed the first interview.,숫자부사
over,이상 (초과),Over 500 orders were placed on the website's first day.,숫자부사
more than,이상 (초과),More than 80 percent of customers rated the service highly.,숫자부사
under,이하 (미만),Repairs under $200 are covered by the warranty.,숫자부사
less than,이하 (미만),Less than five minutes remained before the submission deadline.,숫자부사
up to,최대,Up to ten participants may join each training session.,숫자부사
at least,최소,At least three signatures are required on the contract.,숫자부사
only,겨우 · 단,Only two candidates met all of the job requirements.,숫자부사
just,겨우 · 막,Just a few items were left in stock after the sale.,숫자부사
exactly,정확히,Exactly 100 units were delivered to the warehouse yesterday.,숫자부사
very,매우,The updated software is very useful for managing inventory.,very형부사
relatively,상대적으로,This assignment is relatively easy compared with last week's.,very형부사
extremely,극도로,The new process is extremely efficient for large orders.,very형부사
highly,매우 (정도가 높음),She is a highly respected manager in the regional office.,very형부사
somewhat,다소,Customer feedback was somewhat mixed after the product launch.,very형부사
too,너무,The meeting room is too small for the entire department.,very형부사
quite,꽤 · 상당히,The onboarding program was quite helpful for new hires.,very형부사
so,매우 · 그렇게,The instructions were so clear that everyone finished on time.,very형부사
much,훨씬,This laptop is much faster than the model we used last year.,비교급강조부사
even,더욱 · 심지어,Sales figures were even higher than the marketing team predicted.,비교급강조부사
still,여전히 · 더,Delivery delays are still worse than they were last quarter.,비교급강조부사
far,훨씬,The revised schedule is far more realistic than the original plan.,비교급강조부사
considerably,상당히,Operating costs decreased considerably after the system upgrade.,비교급강조부사
significantly,유의미하게 · 상당히,Response times improved significantly following the server migration.,비교급강조부사
substantially,대폭 · 실질적으로,Production output increased substantially over the past six months.,비교급강조부사
