키워드,뜻,품사
at,"~에 (장소/시간/비율)",전치사
on,"~에 (장소/요일/정보수단)",전치사
in,"~안에 (장소/연도/특정분야)",전치사
after,"~후에 (시점)",전치사
after,"~후에 (시점)",접속사
before,"~전에 (시점)",전치사
before,"~전에 (시점)",접속사
since,"~이후 지금까지 (과거시점)",전치사
since,"~이후 지금까지 (과거시점)",접속사
from,"~부터 (출발지 / 시작시점)",전치사
through,"~통해서 (수단 / 장소)",전치사
for,"~위해 (목적/이유/대상)",전치사
during,"~동안 (기간)",전치사
by,"~까지 (마감/수단)",전치사
until,"~할 때까지 (시간 한계)",전치사
until,"~할 때까지 (시간 한계)",접속사
over,"~위에 / ~이상 (위치/비교/범위)",전치사
among,"~사이에 (셋 이상)",전치사
below,"~아래에 (위치/수준)",전치사
toward,"~쪽으로 (방향/태도)",전치사
above,"~위에 (위치/기준 초과)",전치사
with,"~와 함께 / ~을 가지고 (도구/동반)",전치사
without,"~없이 (부재/조건)",전치사
so,"그래서 (결과)",접속사
when,"~할 때 (시간)",접속사
while,"~하는 동안 / 반면에 (시간/대조)",접속사
as,"~로서 / ~하면서 / ~처럼 (비교·시간·자격)",전치사
as,"~로서 / ~하면서 / ~처럼 (비교·시간·자격)",접속사
as soon as,"~하자마자 (시간)",접속사
if,"만약 ~라면 (조건)",접속사
unless,"~하지 않는 한 (조건)",접속사
as long as,"~하는 한 (조건)",접속사
because,"~때문에 (이유)",접속사
although,"비록 ~이지만 (양보)",접속사
though,"비록 ~이지만 (양보)",접속사
even if,"설령 ~일지라도 (가정/양보)",접속사
given,"~을 고려하면 (조건)",전치사
barring,"~이 없다면 (조건)",전치사
instead,"대신에 (대체)",부사
so that,"~하기 위해 / ~하도록 (목적/결과)",접속사
in case that,"~하는 경우에 대비하여 (조건)",접속사
regardless,"~에 상관없이 (양보)",부사
provided that,"~하는 한 / ~라면 (조건)",접속사
except that,"~라는 점만 제외하고 (제외)",접속사
regardless of,"~에 상관없이 (양보)",전치사
as a result,"그 결과 (결과)",부사
furthermore,"게다가 (추가)",부사
considering that,"~을 고려하면 (조건)",접속사
in case,"~의 경우에 (조건)",접속사
in order that,"~하기 위하여 (목적)",접속사
given that,"~을 고려하면 (조건)",접속사
also,"또한 (추가)",부사
whether,"~인지 아닌지 (의문/조건)",접속사
in addition,"게다가 (추가)",부사
other than,"~을 제외하고 (제외)",전치사
in case of,"~의 경우에 (조건)",전치사
instead of,"~대신에 (대체)",전치사
considering,"~을 고려하면 (조건)",전치사
in view of,"~을 고려하여 (이유)",전치사
consequently,"그 결과 (결과)",부사
besides,"~외에도 / 게다가 (추가)",전치사
besides,"~외에도 / 게다가 (추가)",부사
except for,"~을 제외하고 (제외)",전치사
as a result of,"~의 결과로 (이유/결과)",전치사
moreover,"게다가 (추가)",부사
but for,"~이 없다면 (조건)",전치사
in addition to,"~뿐만 아니라 (추가)",전치사
aside from,"~을 제외하고 / ~외에도 (제외/추가)",전치사
apart from,"~을 제외하고 / ~외에도 (제외/추가)",전치사
now,"이제 / 현재 (전환)",접속사
because of,"~때문에 (이유)",전치사
prior to,"~이전에 (시간)",전치사
in spite of,"~에도 불구하고 (양보)",전치사
for this reason,"이러한 이유로 (이유/결과)",부사
otherwise,"그렇지 않으면 (조건)",부사
however,"그러나 (대조)",부사
previously,"이전에 (시간)",부사
nevertheless,"그럼에도 불구하고 (양보)",부사
as though,"마치 ~인 것처럼 (비교)",접속사
now that,"이제 ~이므로 (이유)",접속사
following,"~이후에 (시간)",전치사
owing to,"~로 인하여 (이유)",전치사
nonetheless,"그럼에도 불구하고 (양보)",부사
whereas,"반면에 (대조)",접속사
even though,"비록 ~일지라도 (양보)",접속사
therefore,"따라서 (결과)",부사
ahead of,"~앞에 / ~보다 먼저 (시간/위치)",전치사
likewise,"마찬가지로 (비교)",부사
afterwards,"그 후에 (시간)",부사
such as,"~와 같은 (예시)",전치사
as if,"마치 ~인 것처럼 (비교)",접속사
in the meantime,"그동안에 (시간)",부사
like,"~처럼 (비교)",전치사
despite,"~에도 불구하고 (양보)",전치사
once,"일단 ~하면 (조건/시간)",접속사
until then,"그때까지 (시간)",부사
still,"여전히 / 그럼에도 (대조)",부사
even as,"~하는 동시에 (시간)",접속사
upon,"~하자마자 / ~위에 (시간/위치)",전치사
on account of,"~때문에 (이유)",전치사
yet,"그러나 / 아직 (대조/시간)",부사
due to,"~로 인해 (이유)",전치사
meanwhile,"그동안에 (시간)",부사
